"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Christian McCaffrey","RB","SF","@NYG","25.8","23.0","24.6","19.2","21.9","24.5","41.7","38.2","Main"
"Ja'Marr Chase","WR","CIN","CHI","23.8","19.3","22.5","13.6","18.1","22.5","39.0","33.0","Main"
"Jonathan Taylor","RB","IND","@PIT","23.8","22.3","22.4","19.5","20.9","22.3","39.2","37.4","Main"
"Patrick Mahomes","QB","KC","@BUF","23.3","23.1","24.2","21.4","21.4","21.4","34.6","34.5","Main"
"Jaxon Smith-Njigba","WR","SEA","@WAS","23.2","19.5","21.8","14.5","18.1","21.7","38.8","33.7","Sunday"
"Josh Allen","QB","BUF","KC","22.9","22.7","23.9","21.4","21.4","21.4","34.6","34.6","Main"
"Puka Nacua","WR","LA","NO","22.9","18.9","21.5","13.6","17.6","21.5","38.7","33.1","Main"
"Lamar Jackson","QB","BAL","@MIA","22.7","22.5","23.9","21.4","21.4","21.4","35.1","35.0","Thursday"
"Jayden Daniels","QB","WAS","SEA","21.9","21.6","22.9","20.3","20.3","20.3","33.4","33.3","Sunday"
"Dak Prescott","QB","DAL","ARI","21.7","21.5","22.6","19.7","19.7","19.7","32.5","32.5","Monday"
"Bijan Robinson","RB","ATL","@NE","21.5","19.1","20.7","15.9","18.2","20.6","35.6","32.5","Main"
"De'Von Achane","RB","MIA","BAL","21.4","18.5","20.8","15.3","18.0","20.7","35.1","31.5","Thursday"
"Justin Herbert","QB","LAC","@TEN","21.2","21.0","22.3","19.5","19.5","19.5","32.4","32.3","Main"
"Drake Maye","QB","NE","ATL","21.1","20.8","22.2","19.5","19.5","19.5","32.0","31.9","Main"
"Caleb Williams","QB","CHI","@CIN","20.8","20.6","21.9","19.2","19.2","19.2","32.0","32.0","Main"
"Amon-Ra St Brown","WR","DET","MIN","20.7","17.2","19.7","12.8","16.2","19.7","36.4","31.4","Main"
"Jahmyr Gibbs","RB","DET","MIN","20.5","18.7","19.6","16.2","17.8","19.5","35.0","32.8","Main"
"CeeDee Lamb","WR","DAL","ARI","20.4","16.9","19.3","12.4","15.8","19.3","35.5","30.5","Monday"
"Daniel Jones","QB","IND","@PIT","20.0","19.8","20.9","18.1","18.1","18.1","31.2","31.1","Main"
"Matthew Stafford","QB","LA","NO","19.8","19.6","20.9","18.1","18.1","18.1","30.6","30.6","Main"
"Jaxson Dart","QB","NYG","SF","19.8","19.5","20.7","18.3","18.3","18.3","31.0","30.9","Main"
"Jordan Love","QB","GB","CAR","19.0","18.9","20.2","17.6","17.6","17.6","30.2","30.1","Main"
"Javonte Williams","RB","DAL","ARI","18.7","17.0","18.0","14.7","16.3","17.9","32.5","30.4","Monday"
"Trevor Lawrence","QB","JAX","@LV","18.7","18.5","19.8","17.1","17.1","17.1","29.3","29.2","Main"
"Jared Goff","QB","DET","MIN","18.5","18.4","19.7","17.1","17.1","17.1","29.3","29.2","Main"
"Rashee Rice","WR","KC","@BUF","18.5","14.9","17.8","10.7","14.2","17.8","32.3","27.3","Main"
"Josh Jacobs","RB","GB","CAR","18.4","17.0","17.6","15.1","16.3","17.5","32.2","30.5","Main"
"Jacoby Brissett","QB","ARI","@DAL","18.3","18.0","19.3","16.6","16.6","16.6","28.5","28.4","Monday"
"Kyren Williams","RB","LA","NO","18.2","16.8","17.5","14.9","16.1","17.4","32.2","30.4","Main"
"Mac Jones","QB","SF","@NYG","18.2","18.0","19.2","16.5","16.5","16.5","28.4","28.4","Main"
"Derrick Henry","RB","BAL","@MIA","17.9","17.2","16.9","15.5","16.1","16.8","32.2","31.3","Thursday"
