Player,Pos,Team,Opp,DK Proj,FD Proj,FFPC Proj,Standard Proj,Half PPR Proj,Full PPR Proj,DK Ceiling,FD Ceiling,Slate
Christian McCaffrey,RB,SF,@ARI,24.8,22,23.8,18.5,21.1,23.7,40.1,36.6,Main
De'Von Achane,RB,MIA,WAS,23.7,21,22.8,17.5,20.1,22.6,38.9,35.5,Other
Ja'Marr Chase,WR,CIN,@PIT,23,18.6,21.7,13,17.4,21.7,37.8,31.8,Main
Bijan Robinson,RB,ATL,CAR,22.9,20.4,21.9,17.1,19.4,21.7,37.1,34,Main
Jaxon Smith-Njigba,WR,SEA,@LA,22.7,19.2,21.4,14.3,17.8,21.3,38,33,Main
Drake Maye,QB,NE,NYJ,21.9,21.6,23.1,20.5,20.5,20.5,32.7,32.6,Thursday
Josh Allen,QB,BUF,TB,21.6,21.4,22.7,20.2,20.2,20.2,33,32.9,Main
Josh Jacobs,RB,GB,@NYG,21.5,20,20.3,17.3,18.7,20.1,35.3,33.4,Main
Patrick Mahomes,QB,KC,@DEN,21.3,21.1,22.4,19.6,19.6,19.6,32.2,32.2,Main
Puka Nacua,WR,LA,SEA,20.9,17,19.7,12.1,15.9,19.7,35.2,29.8,Main
Amon-Ra St Brown,WR,DET,@PHI,20.7,16.8,19.6,11.9,15.7,19.6,35.1,29.7,Sunday
Jalen Hurts,QB,PHI,DET,20.6,20.3,21.8,19.3,19.3,19.3,31.6,31.5,Sunday
Dak Prescott,QB,DAL,@LV,20.5,20.4,21.6,18.8,18.8,18.8,31.1,31.1,Monday
Justin Herbert,QB,LAC,@JAX,20.5,20.2,21.5,18.6,18.6,18.6,31.2,31.1,Main
Matthew Stafford,QB,LA,SEA,20.2,20,21.2,18.2,18.2,18.2,30.6,30.5,Main
Brock Purdy,QB,SF,@ARI,20.2,20,21.2,18.4,18.4,18.4,30.8,30.7,Main
CeeDee Lamb,WR,DAL,@LV,19.8,16.3,18.7,11.8,15.3,18.7,34.1,29.2,Monday
JJ McCarthy,QB,MIN,CHI,19.8,19.5,20.8,18.3,18.3,18.3,30.9,30.9,Main
Rashee Rice,WR,KC,@DEN,19.7,16,18.9,11.7,15.3,18.8,33.8,28.7,Main
Trey McBride,TE,ARI,SF,19.6,15.9,22.3,11.4,15.1,18.7,32.6,27.4,Main
Javonte Williams,RB,DAL,@LV,19.5,17.9,18.5,15.6,17,18.4,33.4,31.6,Monday
Lamar Jackson,QB,BAL,@CLE,19.3,19,20.6,18.3,18.3,18.3,29.9,29.8,Main
TreVeyon Henderson,RB,NE,NYJ,19.2,17.5,18.3,15.1,16.6,18.2,32.8,30.7,Thursday
Ashton Jeanty,RB,LV,DAL,19,17.1,18.3,14.7,16.4,18.1,31.8,29.6,Monday
Jaylen Warren,RB,PIT,CIN,19,17.7,18,15.6,16.7,17.9,32.8,31.2,Main
Caleb Williams,QB,CHI,@MIN,18.4,18.1,19.5,17,17,17,28.6,28.6,Main
Aaron Rodgers,QB,PIT,CIN,18.4,18.2,19.5,16.9,16.9,16.9,28.5,28.4,Main
Rico Dowdle,RB,CAR,@ATL,18.2,16.7,17.2,14.3,15.7,17,30.5,28.7,Main
