"Player","FD Pos","Team","Opp","FD Salary","FD Proj","FD Value","Small Field","Large Field","FD Floor","FD Ceiling","id"
"Jonathan Taylor","RB","IND","@PIT","$11,000","22.2","2.5","7.6%","7.8%","9.5","37.3","122147-89675"
"Ja'Marr Chase","WR","CIN","CHI","$9,700","19.1","1.9","15.6%","20.2%","7.8","32.6","122147-85701"
"Puka Nacua","WR","LA","NO","$9,500","18.9","2.1","15.6%","16.4%","7.6","32.9","122147-103020"
"Christian McCaffrey","RB","SF","@NYG","$9,500","22.8","6.0","38.4%","28.4%","10.4","37.8","122147-55050"
"Josh Jacobs","RB","GB","CAR","$9,400","17.8","1.2","6.0%","7.2%","6.8","31.3","122147-72731"
"Amon-Ra St. Brown","WR","DET","MIN","$9,100","17.1","1.1","15.6%","13.8%","6.3","30.9","122147-86997"
"Bijan Robinson","RB","ATL","@NE","$9,000","19.1","3.3","20.4%","18.1%","8.4","32.7","122147-136855"
"Josh Allen","QB","BUF","KC","$8,900","22.3","1.0","4.8%","6.2%","12.1","33.9","122147-62239"
"Jahmyr Gibbs","RB","DET","MIN","$8,900","18.6","3.0","10.0%","12.6%","7.4","32.6","122147-129368"
"Justin Jefferson","WR","MIN","@DET","$8,700","14.6","-0.6","6.0%","6.6%","4.7","26.8","122147-85671"
"Patrick Mahomes","QB","KC","@BUF","$8,500","23.1","2.9","12.4%","10.7%","13.1","34.6","122147-57439"
"Davante Adams","WR","LA","NO","$8,500","13.7","-1.2","1.2%","3.3%","3.9","26.4","122147-45889"
"James Cook III","RB","BUF","KC","$8,400","15.2","0.5","11.2%","8.1%","5.5","28.4","122147-91626"
"Rashee Rice","WR","KC","@BUF","$8,200","14.7","0.5","25.2%","20.8%","5.4","27.1","122147-111311"
"Justin Herbert","QB","LAC","@TEN","$8,100","21.1","2.2","6.8%","6.1%","11.8","32.4","122147-69189"
"Rome Odunze","WR","CHI","@CIN","$8,000","12.6","-1.3","4.8%","5.3%","3.3","25.1","122147-120033"
"Bo Nix","QB","DEN","@HOU","$8,000","16.8","-1.8","0.4%","0.8%","8.7","26.4","122147-102965"
"Kyren Williams","RB","LA","NO","$8,000","16.8","2.9","26.4%","23.0%","6.3","30.3","122147-104433"
"Nico Collins","WR","HOU","DEN","$7,900","13.4","-0.2","0.2%","0.9%","4.2","25.4","122147-91419"
"Daniel Jones","QB","IND","@PIT","$7,900","19.7","1.3","2.8%","4.1%","10.7","31.0","122147-63519"
"Ladd McConkey","WR","LAC","@TEN","$7,800","13.1","-0.3","4.0%","5.9%","4.2","25.0","122147-133472"
"Drake Maye","QB","NE","ATL","$7,800","20.8","2.7","6.8%","8.2%","11.4","31.9","122147-152316"
"Drake London","WR","ATL","@NE","$7,700","12.7","-0.5","0.2%","0.6%","4.1","24.0","122147-112745"
