"Player","DK Pos","Team","Opp","DK Salary","DK Proj","DK Value","Small Field","Large Field","DK Floor","DK Ceiling","id"
"Jonathan Taylor","RB","IND","@PIT","$9,800","23.7","1.4","7.6%","8.3%","10.8","39.1","40560967"
"Christian McCaffrey","RB","SF","@NYG","$8,800","25.6","5.2","32.2%","30.8%","12.6","41.4","40560969"
"Bijan Robinson","RB","ATL","@NE","$8,700","21.6","1.4","11.9%","13.1%","10.3","35.8","40560971"
"Puka Nacua","WR","LA","NO","$8,500","22.9","3.1","21.5%","20.4%","10.1","38.4","40561227"
"Ja'Marr Chase","WR","CIN","CHI","$8,400","23.6","4.0","33.6%","27.6%","10.7","38.7","40561229"
"Amon-Ra St. Brown","WR","DET","MIN","$8,300","20.6","1.2","13.3%","13.9%","8.5","35.9","40561231"
"Jahmyr Gibbs","RB","DET","MIN","$8,000","20.4","1.6","12.6%","12.0%","8.7","34.9","40560973"
"Justin Jefferson","WR","MIN","@DET","$7,800","17.5","-0.9","5.9%","7.6%","6.3","31.0","40561233"
"Josh Jacobs","RB","GB","CAR","$7,700","19.1","0.9","9.2%","10.1%","7.8","32.8","40560975"
"Rashee Rice","WR","KC","@BUF","$7,600","18.2","0.2","16.2%","15.3%","7.5","32.1","40561235"
"Davante Adams","WR","LA","NO","$7,500","16.1","-1.8","2.5%","2.9%","5.2","30.1","40561237"
"Josh Allen","QB","BUF","KC","$7,300","22.5","0.0","5.4%","5.7%","12.2","33.9","40560893"
"James Cook III","RB","BUF","KC","$7,200","16.2","-1.1","6.2%","6.4%","6.3","29.6","40560977"
"Nico Collins","WR","HOU","DEN","$7,100","16.0","-1.0","0.4%","0.6%","5.6","29.4","40561239"
"Patrick Mahomes","QB","KC","@BUF","$7,100","23.3","1.4","9.0%","7.7%","13.2","34.6","40560894"
"Justin Herbert","QB","LAC","@TEN","$6,800","21.4","0.4","4.9%","5.7%","11.9","32.7","40560895"
"Kyren Williams","RB","LA","NO","$6,800","18.1","1.7","21.3%","21.3%","7.3","32.0","40560979"
