Draft,Team,Pick,Player,Position,NFL_Team,User,Fantasy QB,QB Team,Stacked,DBL Stack,QB Stack,Opponent,Double Run,Runback,ETR Timing,,,,,
1,1,1,Christian McCaffrey,RB,San Francisco 49ers,ECOXER10,Justin Fields,New York Jets,0,,,Los Angeles Rams,0,0,Pre-ETR,,,,,
1,2,2,James Cook,RB,Buffalo Bills,CHADCANDLES,Caleb Williams,Chicago Bears,0,,,Miami Dolphins,0,0,Pre-ETR,,,,,
1,3,3,Jaxon Smith-Njigba,WR,Seattle Seahawks,LEE121503,Sam Darnold,Seattle Seahawks,1,,,Arizona Cardinals,0,0,Pre-ETR,,,,,
1,4,4,Jahmyr Gibbs,RB,Detroit Lions,EZ116,Jared Goff,Detroit Lions,1,,,Washington Commanders,0,0,Pre-ETR,,,,,
1,5,5,Rico Dowdle,RB,Carolina Panthers,TMONEYTTIME1,Drake Maye,New England Patriots,0,,,New Orleans Saints,0,0,Pre-ETR,,,,,
1,6,6,De'Von Achane,RB,Miami Dolphins,GOAZCARDS,Matthew Stafford,Los Angeles Rams,0,,,Buffalo Bills,0,0,Pre-ETR,,,,,
1,7,7,Derrick Henry,RB,Baltimore Ravens,DAVISMATTEK,Brock Purdy,San Francisco 49ers,0,,,Minnesota Vikings,1,1,Pre-ETR,,,,,
1,8,8,Amon-Ra St. Brown,WR,Detroit Lions,GPNGC,Lamar Jackson,Baltimore Ravens,0,,,Washington Commanders,0,0,Pre-ETR,,,,,
1,9,9,Puka Nacua,WR,Los Angeles Rams,NEZ,Jaxson Dart,New York Giants,0,,,San Francisco 49ers,0,0,Pre-ETR,,,,,
1,10,10,Justin Jefferson,WR,Minnesota Vikings,TOPSTATNFT,J.J. McCarthy,Minnesota Vikings,1,,,Baltimore Ravens,0,0,Pre-ETR,,,,,
1,11,11,Josh Allen,QB,Buffalo Bills,TYLERC192,Josh Allen,Buffalo Bills,1,1,1,Miami Dolphins,0,0,Pre-ETR,,,,,
